Binomial_ID,Language,A_en,B_en,A_de,B_de,A_B_count,B_A_count,Order_preference
1,de,love,hate,Liebe,Hass,,,
2,de,sun,moon,Sonne,Mond,,,
3,de,men,women,Mann,Frau,,,
4,de,wind,rain,Wind,Regen,,,
5,de,birth,death,Geburt,Tod,,,
6,de,east,west,Ost,West,,,
7,de,push,pull,drücken,ziehen,,,
8,de,up,down,oben,unten,,,
9,de,iron,steel,Eisen,Stahl,,,
10,de,day,night,Tag,Nacht,,,
11,de,fire,water,Feuer,Wasser,,,
12,de,rich,poor,reich,arm,,,
13,de,young,old,jung,alt,,,
14,de,war,peace,Krieg,Frieden,,,
15,de,hot,cold,heiß,kalt,,,
16,de,north,south,Norden,Süden,,,
17,de,truth,lies,Wahrheit,Lügen,,,
18,de,body,soul,Körper,Seele,,,
19,de,time,space,Zeit,Raum,,,
20,de,cat,mouse,Katze,Maus,,,
21,de,health,illness,Gesundheit,Krankheit,,,
22,de,in,out,in,aus,,,
23,de,students,teachers,Studenten,Lehrer,,,
24,de,eat,drink,essen,trinken,,,
25,de,fruit,vegetable,Obst,Gemüse,,,
26,de,tea,coffee,Tee,Kaffee,,,
27,de,black,white,schwarz,weiß,,,
28,de,mom,dad,Mama,Papa,,,
29,de,left,right,links,rechts,,,
30,de,friends,enemies,Freunde,Feinde,,,
31,de,pen,paper,Stift,Papier,,,
32,de,red,black,rot,schwarz,,,
33,de,family,friends,Familie,Freunde,,,
34,de,song,dance,Lied,Tanz,,,
35,de,buy,sell,kaufen,verkaufen,,,
36,de,king,queen,König,Königin,,,
37,de,sweet,sour,süß,sauer,,,
38,de,more,less,mehr,weniger,,,
39,de,sooner,later,früher,später,,,
40,de,host,guest,Gastgeber,Gast,,,
41,de,hunger,thirst,Hunger,Durst,,,
42,de,urban,rural,städtisch,ländlich,,,
43,de,life,work,Leben,Arbeit,,,
44,de,law,order,Gesetz,Ordnung,,,
45,de,old,new,alt,neu,,,
46,de,eye,ear,Auge,Ohr,,,
47,de,major,minor,wichtig,unwichtig,,,
48,de,ice,fire,Eis,Feuer,,,
49,de,supply,demand,Angebot,Nachfrage,,,
50,de,husband,wife,Ehemann,Ehefrau,,,
51,de,parents,children,Eltern,Kinder,,,
52,de,profit,loss,Gewinn,Verlust,,,
53,de,needle,thread,Nadel,Faden,,,
54,de,virtue,vice,Tugend,Laster,,,
55,de,word,deed,Wort,Tat,,,
56,de,church,state,Kirche,Staat,,,
57,de,angel,demon,Engel,Dämon,,,
58,de,win,lose,gewinnen,verlieren,,,
59,de,thunder,lightning,Donner,Blitz,,,
60,de,domestic,foreign,inländisch,ausländisch,,,
61,de,near,far,nah,fern,,,
62,de,flesh,blood,Fleisch,Blut,,,
63,de,sea,sky,Meer,Himmel,,,
64,de,cheap,expensive,billig,teuer,,,
65,de,oil,gas,Öl,Gas,,,
66,de,teach,learn,lehren,lernen,,,
67,de,rise,fall,steigen,fallen,,,
68,de,cause,effect,Ursache,Wirkung,,,
69,de,laugh,cry,lachen,weinen,,,
70,de,heaven,earth,Himmel,Erde,,,
71,de,right,wrong,richtig,falsch,,,
72,de,long,short,lang,kurz,,,
73,de,permitted,forbidden,erlaubt,verboten,,,
74,de,come,go,kommen,gehen,,,
75,de,sweet,bitter,süß,bitter,,,
