Binomial_ID,Language,A_en,B_en,A_B_count,B_A_count,Order_preference
1,en,love,hate,,,
2,en,sun,moon,,,
3,en,men,women,,,
4,en,wind,rain,,,
5,en,birth,death,,,
6,en,east,west,,,
7,en,push,pull,,,
8,en,up,down,,,
9,en,iron,steel,,,
10,en,day,night,,,
11,en,fire,water,,,
12,en,rich,poor,,,
13,en,young,old,,,
14,en,war,peace,,,
15,en,hot,cold,,,
16,en,north,south,,,
17,en,truth,lies,,,
18,en,body,soul,,,
19,en,time,space,,,
20,en,cat,mouse,,,
21,en,health,illness,,,
22,en,in,out,,,
23,en,students,teachers,,,
24,en,eat,drink,,,
25,en,fruit,vegetable,,,
26,en,tea,coffee,,,
27,en,black,white,,,
28,en,mom,dad,,,
29,en,left,right,,,
30,en,friends,enemies,,,
31,en,pen,paper,,,
32,en,red,black,,,
33,en,family,friends,,,
34,en,song,dance,,,
35,en,buy,sell,,,
36,en,king,queen,,,
37,en,sweet,sour,,,
38,en,more,less,,,
39,en,sooner,later,,,
40,en,host,guest,,,
41,en,hunger,thirst,,,
42,en,urban,rural,,,
43,en,life,work,,,
44,en,law,order,,,
45,en,old,new,,,
46,en,eye,ear,,,
47,en,major,minor,,,
48,en,ice,fire,,,
49,en,supply,demand,,,
50,en,husband,wife,,,
51,en,parents,children,,,
52,en,profit,loss,,,
53,en,needle,thread,,,
54,en,virtue,vice,,,
55,en,word,deed,,,
56,en,church,state,,,
57,en,angel,demon,,,
58,en,win,lose,,,
59,en,thunder,lightning,,,
60,en,domestic,foreign,,,
61,en,near,far,,,
62,en,flesh,blood,,,
63,en,sea,sky,,,
64,en,cheap,expensive,,,
65,en,oil,gas,,,
66,en,teach,learn,,,
67,en,rise,fall,,,
68,en,cause,effect,,,
69,en,laugh,cry,,,
70,en,heaven,earth,,,
71,en,right,wrong,,,
72,en,long,short,,,
73,en,permitted,forbidden,,,
74,en,come,go,,,
75,en,sweet,bitter,,,
