Binomial_ID,Language,A_en,B_en,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
1,en,love,hate,30149,3019,love and hate,and,0.909,weak
2,en,sun,moon,36592,4583,sun and moon,and,0.8887,medium
3,en,men,women,842384,128954,men and women,and,0.8672,strong
4,en,wind,rain,27712,12403,wind and rain,and,0.6908,weak
5,en,birth,death,45700,2017,birth and death,and,0.9577,medium
6,en,east,west,143777,20630,east and west,and,0.8745,strong
7,en,push,pull,30419,6628,push and pull,and,0.8211,weak
8,en,up,down,786728,11180,up and down,and,0.986,strong
9,en,iron,steel,34452,4578,iron and steel,and,0.8827,weak
10,en,day,night,244954,62999,day and night,and,0.7954,strong
11,en,fire,water,12070,5227,fire and water,and,0.6978,weak
12,en,rich,poor,55536,4355,rich and poor,and,0.9273,medium
13,en,young,old,107329,34760,young and old,and,0.7554,strong
14,en,war,peace,40655,9240,war and peace,and,0.8148,medium
15,en,hot,cold,92253,13399,hot and cold,and,0.8732,medium
16,en,north,south,206191,17709,north and south,and,0.9209,strong
17,en,truth,lies,4023,696,truth and lies,and,0.8524,weak
18,en,body,soul,50152,15050,body and soul,and,0.7692,medium
19,en,time,space,136676,97061,time and space,and,0.5847,strong
20,en,cat,mouse,17699,331,cat and mouse,and,0.9816,weak
21,en,health,illness,7266,1819,health and illness,and,0.7997,weak
22,en,in,out,621464,13366,in and out,and,0.9789,strong
23,en,students,teachers,78319,72777,students and teachers,and,0.5183,strong
24,en,eat,drink,99564,8486,eat and drink,and,0.9215,medium
25,en,fruit,vegetable,252992,41820,fruit and vegetable,and,0.8581,strong
26,en,tea,coffee,56040,38600,tea and coffee,and,0.5921,medium
27,en,black,white,551651,66530,black and white,and,0.8924,strong
28,en,mom,dad,108243,7656,mom and dad,and,0.9339,medium
29,en,left,right,287015,99463,left and right,and,0.7426,strong
30,en,friends,enemies,8534,1020,friends and enemies,and,0.8932,weak
31,en,pen,paper,28083,5448,pen and paper,and,0.8375,weak
32,en,red,black,54345,29940,red and black,and,0.6448,medium
33,en,family,friends,489109,452654,family and friends,and,0.5194,strong
34,en,song,dance,39472,5465,song and dance,and,0.8784,medium
35,en,buy,sell,209567,16437,buy and sell,and,0.9273,strong
36,en,king,queen,54960,5465,king and queen,and,0.9096,medium
37,en,sweet,sour,19869,1000,sweet and sour,and,0.9521,weak
38,en,more,less,705173,8464,more or less,or,0.9881,strong
39,en,sooner,later,155092,147,sooner or later,or,0.999,strong
40,en,host,guest,5029,2090,host and guest,and,0.7064,weak
41,en,hunger,thirst,14179,2019,hunger and thirst,and,0.8753,weak
42,en,urban,rural,56509,3079,urban and rural,and,0.9483,medium
43,en,life,work,96250,22918,life and work,and,0.8077,medium
44,en,law,order,105715,1154,law and order,and,0.9892,medium
45,en,old,new,160178,60626,old and new,and,0.7254,strong
46,en,eye,ear,52442,7590,eye and ear,and,0.8736,medium
47,en,major,minor,57124,10611,major and minor,and,0.8433,medium
48,en,ice,fire,11283,10812,ice and fire,and,0.5107,weak
49,en,supply,demand,105394,28396,supply and demand,and,0.7878,strong
50,en,husband,wife,119347,8639,husband and wife,and,0.9325,strong
51,en,parents,children,48516,22226,parents and children,and,0.6858,medium
52,en,profit,loss,39013,1135,profit and loss,and,0.9717,weak
53,en,needle,thread,8150,829,needle and thread,and,0.9076,weak
54,en,virtue,vice,5820,2549,virtue and vice,and,0.6954,weak
55,en,word,deed,25446,1755,word and deed,and,0.9355,weak
56,en,church,state,64928,2817,church and state,and,0.9584,medium
57,en,angel,demon,5229,1366,angel and demon,and,0.7928,weak
58,en,win,lose,61790,3180,win or lose,or,0.951,medium
59,en,thunder,lightning,13663,3796,thunder and lightning,and,0.7826,weak
60,en,domestic,foreign,44307,29868,domestic and foreign,and,0.5973,medium
61,en,near,far,32528,9400,near and far,and,0.7758,medium
62,en,flesh,blood,47566,2158,flesh and blood,and,0.9566,medium
63,en,sea,sky,5805,2444,sea and sky,and,0.7037,weak
64,en,cheap,expensive,1583,889,cheap or expensive,or,0.6403,weak
65,en,oil,gas,465833,28421,oil and gas,and,0.9425,strong
66,en,teach,learn,114880,37258,teach and learn,and,0.7551,strong
67,en,rise,fall,138012,6293,rise and fall,and,0.9564,strong
68,en,cause,effect,87451,1686,cause and effect,and,0.9811,medium
69,en,laugh,cry,15980,2987,laugh and cry,and,0.8425,weak
70,en,heaven,earth,73074,6519,heaven and earth,and,0.9181,medium
71,en,right,wrong,157462,6688,right or wrong,or,0.9593,strong
72,en,long,short,59029,63126,short and long,and,0.4832,strong
73,en,permitted,forbidden,298,108,permitted and forbidden,and,0.7334,weak
74,en,come,go,239548,7053,come and go,and,0.9714,strong
75,en,sweet,bitter,2391,2229,sweet and bitter,and,0.5175,weak
,,,,,,,,
