Binomial_ID,Language,A_en,B_en,A_id,B_id,A_B_count,B_A_count,Order_preference
1,id,love,hate,cinta,benci,,,
2,id,sun,moon,matahari,bulan,,,
3,id,men,women,pria,wanita,,,
4,id,wind,rain,angin,hujan,,,
5,id,birth,death,kelahiran,kematian,,,
6,id,east,west,timur,barat,,,
7,id,push,pull,dorong,tarik,,,
8,id,up,down,naik,turun,,,
9,id,iron,steel,besi,baja,,,
10,id,day,night,siang,malam,,,
11,id,fire,water,api,air,,,
12,id,rich,poor,kaya,miskin,,,
13,id,young,old,muda,tua,,,
14,id,war,peace,perang,damai,,,
15,id,hot,cold,panas,dingin,,,
16,id,north,south,utara,selatan,,,
17,id,truth,lies,kebenaran,kebohongan,,,
18,id,body,soul,tubuh,jiwa,,,
19,id,time,space,waktu,ruang,,,
20,id,cat,mouse,kucing,tikus,,,
21,id,health,illness,kesehatan,penyakit,,,
22,id,in,out,masuk,keluar,,,
23,id,students,teachers,siswa,guru,,,
24,id,eat,drink,makan,minum,,,
25,id,fruit,vegetable,buah,sayur,,,
26,id,tea,coffee,teh,kopi,,,
27,id,black,white,hitam,putih,,,
28,id,mom,dad,ibu,ayah,,,
29,id,left,right,kiri,kanan,,,
30,id,friends,enemies,teman,musuh,,,
31,id,pen,paper,pena,kertas,,,
32,id,red,black,merah,hitam,,,
33,id,family,friends,keluarga,teman,,,
34,id,song,dance,lagu,tarian,,,
35,id,buy,sell,beli,jual,,,
36,id,king,queen,raja,ratu,,,
37,id,sweet,sour,manis,asam,,,
38,id,more,less,lebih,kurang,,,
39,id,sooner,later,cepat,lambat,,,
40,id,host,guest,tuan rumah,tamu,,,
41,id,hunger,thirst,lapar,haus,,,
42,id,urban,rural,perkotaan,pedesaan,,,
43,id,life,work,kehidupan,pekerjaan,,,
44,id,law,order,hukum,ketertiban,,,
45,id,old,new,lama,baru,,,
46,id,eye,ear,mata,telinga,,,
47,id,major,minor,mayor,minor,,,
48,id,ice,fire,es,api,,,
49,id,supply,demand,penawaran,permintaan,,,
50,id,husband,wife,suami,istri,,,
51,id,parents,children,orang tua,anak,,,
52,id,profit,loss,untung,rugi,,,
53,id,needle,thread,jarum,benang,,,
54,id,virtue,vice,kebajikan,kejahatan,,,
55,id,word,deed,kata,perbuatan,,,
56,id,church,state,gereja,negara,,,
57,id,angel,demon,malaikat,iblis,,,
58,id,win,lose,menang,kalah,,,
59,id,thunder,lightning,guntur,kilat,,,
60,id,domestic,foreign,dalam negeri,luar negeri,,,
61,id,near,far,dekat,jauh,,,
62,id,flesh,blood,daging,darah,,,
63,id,sea,sky,laut,langit,,,
64,id,cheap,expensive,murah,mahal,,,
65,id,oil,gas,minyak,gas,,,
66,id,teach,learn,mengajar,belajar,,,
67,id,rise,fall,bangun,jatuh,,,
68,id,cause,effect,sebab,akibat,,,
69,id,laugh,cry,tertawa,menangis,,,
70,id,heaven,earth,langit,bumi,,,
71,id,right,wrong,benar,salah,,,
72,id,long,short,panjang,pendek,,,
73,id,permitted,forbidden,halal,haram,,,
74,id,come,go,datang,pergi,,,
75,id,sweet,bitter,manis,pahit,,,
