Binomial_ID,Language,A_en,B_en,A_ja,B_ja,A_B_count,B_A_count,Order_preference
1,ja,love,hate,愛,憎,,,
2,ja,sun,moon,太陽,月,,,
3,ja,men,women,男,女,,,
4,ja,wind,rain,風,雨,,,
5,ja,birth,death,生,死,,,
6,ja,east,west,西,東,,,
7,ja,push,pull,押し,引き,,,
8,ja,up,down,上,下,,,
9,ja,iron,steel,鉄,鋼,,,
10,ja,day,night,昼,夜,,,
11,ja,fire,water,火,水,,,
12,ja,rich,poor,富,貧,,,
13,ja,young,old,若,老,,,
14,ja,war,peace,戦争,平和,,,
15,ja,hot,cold,暑,寒,,,
16,ja,north,south,北,南,,,
17,ja,truth,lies,真,偽,,,
18,ja,body,soul,肉体,魂,,,
19,ja,time,space,時,空,,,
20,ja,cat,mouse,猫,鼠,,,
21,ja,health,illness,健康,病気,,,
22,ja,in,out,入,出,,,
23,ja,students,teachers,学生,教師,,,
24,ja,eat,drink,食,飲,,,
25,ja,fruit,vegetable,果物,野菜,,,
26,ja,tea,coffee,茶,コーヒー,,,
27,ja,black,white,黒,白,,,
28,ja,mom,dad,母,父,,,
29,ja,left,right,左,右,,,
30,ja,friends,enemies,味方,敵,,,
31,ja,pen,paper,ペン,紙,,,
32,ja,red,black,赤,黒,,,
33,ja,family,friends,家族,友達,,,
34,ja,song,dance,歌,踊り,,,
35,ja,buy,sell,買,売,,,
36,ja,king,queen,王,女王,,,
37,ja,sweet,sour,甘,酸,,,
38,ja,more,less,多,少,,,
39,ja,sooner,later,早かれ,遅かれ,,,
40,ja,host,guest,主,客,,,
41,ja,hunger,thirst,飢え,渇き,,,
42,ja,urban,rural,都市,農村,,,
43,ja,life,work,生活,仕事,,,
44,ja,law,order,治,安,,,
45,ja,old,new,旧,新,,,
46,ja,eye,ear,目,耳,,,
47,ja,major,minor,主,従,,,
48,ja,ice,fire,氷,火,,,
49,ja,supply,demand,給,需,,,
50,ja,husband,wife,夫,妻,,,
51,ja,parents,children,親,子,,,
52,ja,profit,loss,益,損,,,
53,ja,needle,thread,針,糸,,,
54,ja,virtue,vice,善,悪,,,
55,ja,word,deed,言,行,,,
56,ja,church,state,教,政,,,
57,ja,angel,demon,天使,悪魔,,,
58,ja,win,lose,勝利,敗北,,,
59,ja,thunder,lightning,雷,電,,,
60,ja,domestic,foreign,国内,国外,,,
61,ja,near,far,近,遠,,,
62,ja,flesh,blood,肉,血,,,
63,ja,sea,sky,海,空,,,
64,ja,cheap,expensive,安い,高い,,,
65,ja,oil,gas,石油,ガス,,,
66,ja,teach,learn,教,学,,,
67,ja,rise,fall,上昇,下降,,,
68,ja,cause,effect,原因,結果,,,
69,ja,laugh,cry,笑い,泣き,,,
70,ja,heaven,earth,天,地,,,
71,ja,right,wrong,正,誤,,,
72,ja,long,short,長,短,,,
73,ja,permitted,forbidden,可,否,,,
74,ja,come,go,来,行き,,,
75,ja,sweet,bitter,甘,苦,,,
