Binomial_ID,Language,A_en,B_en,A_ja,B_ja,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
1,ja,love,hate,愛,憎,8408,81,愛憎,,0.9904,medium
2,ja,sun,moon,太陽,月,3241,1680,太陽と月,と,0.6586,medium
3,ja,men,women,男,女,329592,3144,男女,,0.9905,strong
4,ja,wind,rain,風,雨,10843,10174,風雨,,0.5159,medium
5,ja,birth,death,生,死,32552,5697,生死,,0.851,strong
6,ja,east,west,西,東,2927,84026,東西,,0.0337,strong
7,ja,push,pull,押し,引き,1108,20,押し引き,,0.9818,weak
8,ja,up,down,上,下,219903,599,上下,,0.9973,strong
9,ja,iron,steel,鉄,鋼,20923,17923,鉄鋼,,0.5386,strong
10,ja,day,night,昼,夜,37043,1289,昼夜,,0.9664,strong
11,ja,fire,water,火,水,5657,2185,火水,,0.7213,medium
12,ja,rich,poor,富,貧,31,9779,貧富,,0.0032,medium
13,ja,young,old,若,老,15,22640,老若,,0.0007,strong
14,ja,war,peace,戦争,平和,2468,135,戦争と平和,と,0.948,weak
15,ja,hot,cold,暑,寒,296,338,寒暑,,0.4669,weak
16,ja,north,south,北,南,3227,62368,南北,,0.0492,strong
17,ja,truth,lies,真,偽,19901,17,真偽,,0.9991,medium
18,ja,body,soul,肉体,魂,416,384,肉体と魂,と,0.52,weak
19,ja,time,space,時,空,43244,281,時空,,0.9935,strong
20,ja,cat,mouse,猫,鼠,111,26,猫と鼠,と,0.808,weak
21,ja,health,illness,健康,病気,383,237,健康と病気,と,0.6176,weak
22,ja,in,out,入,出,878,5921,出入,,0.1292,medium
23,ja,students,teachers,学生,教師,181,300,教師と学生,と,0.3766,weak
24,ja,eat,drink,食,飲,45,145857,飲食,,0.0003,strong
25,ja,fruit,vegetable,果物,野菜,1006,2422,野菜と果物,と,0.2935,medium
26,ja,tea,coffee,茶,コーヒー,311,21,茶とコーヒー,と,0.9354,weak
27,ja,black,white,黒,白,11504,61655,白黒,,0.1573,strong
28,ja,mom,dad,母,父,5837,49378,父母,,0.1057,strong
29,ja,left,right,左,右,361551,9429,左右,,0.9746,strong
30,ja,friends,enemies,味方,敵,219,9537,敵味方,,0.0225,medium
31,ja,pen,paper,ペン,紙,395,1551,紙とペン,と,0.2031,weak
32,ja,red,black,赤,黒,11094,3881,赤と黒,と,0.7408,medium
33,ja,family,friends,家族,友達,423,1255,友達家族,,0.2522,weak
34,ja,song,dance,歌,踊り,3424,407,歌と踊り,と,0.8937,medium
35,ja,buy,sell,買,売,67,148627,売買,,0.0005,strong
36,ja,king,queen,王,女王,177,39,王と女王,と,0.818,weak
37,ja,sweet,sour,甘,酸,490,50,甘酸,,0.9067,weak
38,ja,more,less,多,少,449783,13,多少,,1.0,strong
39,ja,sooner,later,早かれ,遅かれ,399,5711,遅かれ早かれ,,0.0654,medium
40,ja,host,guest,主,客,1632,51,主客,,0.9694,weak
41,ja,hunger,thirst,飢え,渇き,450,19,飢えと渇き,と,0.9585,weak
42,ja,urban,rural,都市,農村,1928,294,都市と農村,と,0.8675,weak
43,ja,life,work,生活,仕事,604,1504,仕事と生活,と,0.2866,weak
44,ja,law,order,治,安,66345,1000,治安,,0.9851,strong
45,ja,old,new,旧,新,489,20881,新旧,,0.0229,strong
46,ja,eye,ear,目,耳,3084,3624,耳目,,0.4598,medium
47,ja,major,minor,主,従,13721,10,主従,,0.9992,medium
48,ja,ice,fire,氷,火,164,285,火氷,,0.3656,weak
49,ja,supply,demand,給,需,1,21954,需給,,0.0001,strong
50,ja,husband,wife,夫,妻,87988,879,夫妻,,0.9901,strong
51,ja,parents,children,親,子,235046,291,親子,,0.9988,strong
52,ja,profit,loss,益,損,5,29203,損益,,0.0002,strong
53,ja,needle,thread,針,糸,1465,339,針と糸,と,0.8119,weak
54,ja,virtue,vice,善,悪,23330,166,善悪,,0.9929,strong
55,ja,word,deed,言,行,3487,12,言行,,0.9964,medium
56,ja,church,state,教,政,9,5236,政教,,0.0018,medium
57,ja,angel,demon,天使,悪魔,3962,401,天使と悪魔,と,0.908,medium
58,ja,win,lose,勝利,敗北,167,14,勝利と敗北,と,0.9203,weak
59,ja,thunder,lightning,雷,電,7426,30,雷電,,0.9959,medium
60,ja,domestic,foreign,国内,国外,458,34,国内国外,,0.93,weak
61,ja,near,far,近,遠,61,10897,遠近,,0.0056,medium
62,ja,flesh,blood,肉,血,206,4939,血肉,,0.0401,medium
63,ja,sea,sky,海,空,3350,23507,空海,,0.1247,strong
64,ja,cheap,expensive,安い,高い,277,839,高い安い,,0.2484,weak
65,ja,oil,gas,石油,ガス,2378,247,石油ガス,,0.9058,weak
66,ja,teach,learn,教,学,7574,123,教学,,0.984,medium
67,ja,rise,fall,上昇,下降,716,34,上昇下降,,0.9541,weak
68,ja,cause,effect,原因,結果,2028,109,原因と結果,と,0.9488,weak
69,ja,laugh,cry,笑い,泣き,641,4262,泣き笑い,,0.1308,medium
70,ja,heaven,earth,天,地,67672,371,天地,,0.9945,strong
71,ja,right,wrong,正,誤,4473,78,正誤,,0.9828,medium
72,ja,long,short,長,短,5280,152,長短,,0.9719,medium
73,ja,permitted,forbidden,可,否,16928,22,可否,,0.9987,medium
74,ja,come,go,来,行き,12,36527,行き来,,0.0003,strong
75,ja,sweet,bitter,甘,苦,284,51,甘苦,,0.8467,weak
