Binomial_ID,Language,A_en,B_en,A_ru,B_ru,A_B_count,B_A_count,Order_preference
1,ru,love,hate,любовь,ненависть,,,
2,ru,sun,moon,солнце,луна,,,
3,ru,men,women,мужчина,женщина,,,
4,ru,wind,rain,ветер,дождь,,,
5,ru,birth,death,рождение,смерть,,,
6,ru,east,west,восток,запад,,,
7,ru,push,pull,толкать,тянуть,,,
8,ru,up,down,вверх,вниз,,,
9,ru,iron,steel,железо,сталь,,,
10,ru,day,night,день,ночь,,,
11,ru,fire,water,огонь,вода,,,
12,ru,rich,poor,богатый,бедный,,,
13,ru,young,old,молодой,старый,,,
14,ru,war,peace,война,мир,,,
15,ru,hot,cold,горячий,холодный,,,
16,ru,north,south,север,юг,,,
17,ru,truth,lies,правда,ложь,,,
18,ru,body,soul,тело,душа,,,
19,ru,time,space,время,пространство,,,
20,ru,cat,mouse,кот,мышь,,,
21,ru,health,illness,здоровье,болезнь,,,
22,ru,in,out,внутри,снаружи,,,
23,ru,students,teachers,студенты,учителя,,,
24,ru,eat,drink,есть,пить,,,
25,ru,fruit,vegetable,фрукты,овощи,,,
26,ru,tea,coffee,чай,кофе,,,
27,ru,black,white,чёрный,белый,,,
28,ru,mom,dad,мама,папа,,,
29,ru,left,right,левый,правый,,,
30,ru,friends,enemies,друзья,враги,,,
31,ru,pen,paper,ручка,бумага,,,
32,ru,red,black,красный,чёрный,,,
33,ru,family,friends,семья,друзья,,,
34,ru,song,dance,песня,танец,,,
35,ru,buy,sell,покупать,продавать,,,
36,ru,king,queen,король,королева,,,
37,ru,sweet,sour,сладкий,кислый,,,
38,ru,more,less,больше,меньше,,,
39,ru,sooner,later,рано,поздно,,,
40,ru,host,guest,хозяин,гость,,,
41,ru,hunger,thirst,голод,жажда,,,
42,ru,urban,rural,городской,сельский,,,
43,ru,life,work,жизнь,работа,,,
44,ru,law,order,закон,порядок,,,
45,ru,old,new,старый,новый,,,
46,ru,eye,ear,глаз,ухо,,,
47,ru,major,minor,главный,второстепенный,,,
48,ru,ice,fire,лёд,огонь,,,
49,ru,supply,demand,предложение,спрос,,,
50,ru,husband,wife,муж,жена,,,
51,ru,parents,children,родители,дети,,,
52,ru,profit,loss,прибыль,убыток,,,
53,ru,needle,thread,игла,нить,,,
54,ru,virtue,vice,добродетель,порок,,,
55,ru,word,deed,слово,поступок,,,
56,ru,church,state,церковь,государство,,,
57,ru,angel,demon,ангел,демон,,,
58,ru,win,lose,побеждать,проигрывать,,,
59,ru,thunder,lightning,гром,молния,,,
60,ru,domestic,foreign,внутренний,иностранный,,,
61,ru,near,far,близкий,далёкий,,,
62,ru,flesh,blood,плоть,кровь,,,
63,ru,sea,sky,море,небо,,,
64,ru,cheap,expensive,дешёвый,дорогой,,,
65,ru,oil,gas,нефть,газ,,,
66,ru,teach,learn,учить,учиться,,,
67,ru,rise,fall,подниматься,падать,,,
68,ru,cause,effect,причина,следствие,,,
69,ru,laugh,cry,смех,слёзы,,,
70,ru,heaven,earth,небо,земля,,,
71,ru,right,wrong,правильное,неправильное,,,
72,ru,long,short,длинный,короткий,,,
73,ru,permitted,forbidden,дозволенное,запретное,,,
74,ru,come,go,приходить,уходить,,,
75,ru,sweet,bitter,сладкое,горькое,,,
