Binomial_ID,Language,A_en,B_en,A_ru,B_ru,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
1,ru,love,hate,любовь,ненависть,12411,1398,любовь и ненависть,и,0.8987,medium
2,ru,sun,moon,солнце,луна,22910,7324,солнце и луна,и,0.7577,strong
3,ru,men,women,мужчина,женщина,297692,52627,мужчина и женщина,и,0.8498,strong
4,ru,wind,rain,ветер,дождь,8819,9524,дождь и ветер,и,0.4808,medium
5,ru,birth,death,рождение,смерть,17354,1810,рождение и смерть,и,0.9055,medium
6,ru,east,west,восток,запад,33987,23594,восток и запад,и,0.5902,strong
7,ru,push,pull,толкать,тянуть,361,429,тянуть и толкать,и,0.457,weak
8,ru,up,down,вверх,вниз,38220,4702,вверх и вниз,и,0.8904,strong
9,ru,iron,steel,железо,сталь,976,625,железо и сталь,и,0.6096,weak
10,ru,day,night,день,ночь,148561,11359,день и ночь,и,0.929,strong
11,ru,fire,water,огонь,вода,12865,4395,огонь и вода,и,0.7454,medium
12,ru,rich,poor,богатый,бедный,19153,8584,богатый и бедный,и,0.6905,strong
13,ru,young,old,молодой,старый,6501,4852,молодой и старый,и,0.5726,medium
14,ru,war,peace,война,мир,56194,3139,война и мир,и,0.9471,strong
15,ru,hot,cold,горячий,холодный,46310,37816,горячий и холодный,и,0.5505,strong
16,ru,north,south,север,юг,19946,5842,север и юг,и,0.7734,medium
17,ru,truth,lies,правда,ложь,6520,1200,правда и ложь,и,0.8445,medium
18,ru,body,soul,тело,душа,26397,58664,душа и тело,и,0.3103,strong
19,ru,time,space,время,пространство,55737,67503,пространство и время,и,0.4523,strong
20,ru,cat,mouse,кот,мышь,525,190,кот и мышь,и,0.7339,weak
21,ru,health,illness,здоровье,болезнь,4739,1103,здоровье и болезнь,и,0.8111,medium
22,ru,in,out,внутри,снаружи,20363,11663,внутри и снаружи,и,0.6358,strong
23,ru,students,teachers,студенты,учителя,153,238,учителя и студенты,и,0.3916,weak
24,ru,eat,drink,есть,пить,22311,6032,есть и пить,и,0.7872,strong
25,ru,fruit,vegetable,фрукты,овощи,33310,49662,овощи и фрукты,и,0.4015,strong
26,ru,tea,coffee,чай,кофе,40568,18007,чай и кофе,и,0.6926,strong
27,ru,black,white,чёрный,белый,1496,1081,чёрный и белый,и,0.5805,weak
28,ru,mom,dad,мама,папа,74389,29987,мама и папа,и,0.7127,strong
29,ru,left,right,левый,правый,56314,64969,правый и левый,и,0.4643,strong
30,ru,friends,enemies,друзья,враги,2667,582,друзья и враги,и,0.8208,weak
31,ru,pen,paper,ручка,бумага,2147,3499,бумага и ручка,и,0.3803,weak
32,ru,red,black,красный,чёрный,573,453,красный и чёрный,и,0.5584,weak
33,ru,family,friends,семья,друзья,3093,977,семья и друзья,и,0.7599,weak
