Binomial_ID,Language,A_en,B_en,A_tr,B_tr,A_B_count,B_A_count,Order_preference
1,tr,love,hate,sevgi,nefret,,,
2,tr,sun,moon,güneş,ay,,,
3,tr,men,women,erkek,kadın,,,
4,tr,wind,rain,rüzgar,yağmur,,,
5,tr,birth,death,doğum,ölüm,,,
6,tr,east,west,doğu,batı,,,
7,tr,push,pull,itme,çekme,,,
8,tr,up,down,yukarı,aşağı,,,
9,tr,iron,steel,demir,çelik,,,
10,tr,day,night,gündüz,gece,,,
11,tr,fire,water,ateş,su,,,
12,tr,rich,poor,zengin,fakir,,,
13,tr,young,old,genç,yaşlı,,,
14,tr,war,peace,savaş,barış,,,
15,tr,hot,cold,sıcak,soğuk,,,
16,tr,north,south,kuzey,güney,,,
17,tr,truth,lies,doğru,yalan,,,
18,tr,body,soul,beden,ruh,,,
19,tr,time,space,zaman,mekan,,,
20,tr,cat,mouse,kedi,fare,,,
21,tr,health,illness,sağlık,hastalık,,,
22,tr,in,out,içeri,dışarı,,,
23,tr,students,teachers,öğrenciler,öğretmenler,,,
24,tr,eat,drink,yemek,içmek,,,
25,tr,fruit,vegetable,meyve,sebze,,,
26,tr,tea,coffee,çay,kahve,,,
27,tr,black,white,siyah,beyaz,,,
28,tr,mom,dad,anne,baba,,,
29,tr,left,right,sol,sağ,,,
30,tr,friends,enemies,dost,düşman,,,
31,tr,pen,paper,kalem,kağıt,,,
32,tr,red,black,kırmızı,siyah,,,
33,tr,family,friends,aile,arkadaşlar,,,
34,tr,song,dance,şarkı,dans,,,
35,tr,buy,sell,alım,satım,,,
36,tr,king,queen,kral,kraliçe,,,
37,tr,sweet,sour,tatlı,ekşi,,,
38,tr,more,less,çok,az,,,
39,tr,sooner,later,er,geç,,,
40,tr,host,guest,ev sahibi,misafir,,,
41,tr,hunger,thirst,açlık,susuzluk,,,
42,tr,urban,rural,kentsel,kırsal,,,
43,tr,life,work,yaşam,iş,,,
44,tr,law,order,kanun,nizam,,,
45,tr,old,new,eski,yeni,,,
46,tr,eye,ear,göz,kulak,,,
47,tr,major,minor,büyük,küçük,,,
48,tr,ice,fire,buz,ateş,,,
49,tr,supply,demand,arz,talep,,,
50,tr,husband,wife,koca,karı,,,
51,tr,parents,children,ebeveynler,çocuklar,,,
52,tr,profit,loss,kâr,zarar,,,
53,tr,needle,thread,iğne,iplik,,,
54,tr,virtue,vice,iyilik,kötülük,,,
55,tr,word,deed,söz,eylem,,,
56,tr,church,state,kilise,devlet,,,
57,tr,angel,demon,melek,şeytan,,,
58,tr,win,lose,kazanmak,kaybetmek,,,
59,tr,thunder,lightning,gök gürültüsü,şimşek,,,
60,tr,domestic,foreign,yerli,yabancı,,,
61,tr,near,far,yakın,uzak,,,
62,tr,flesh,blood,et,kan,,,
63,tr,sea,sky,deniz,gökyüzü,,,
64,tr,cheap,expensive,ucuz,pahalı,,,
65,tr,oil,gas,petrol,gaz,,,
66,tr,teach,learn,öğretmek,öğrenmek,,,
67,tr,rise,fall,yükseliş,düşüş,,,
68,tr,cause,effect,neden,sonuç,,,
69,tr,laugh,cry,gülmek,ağlamak,,,
70,tr,heaven,earth,gök,yer,,,
71,tr,right,wrong,doğru,yanlış,,,
72,tr,long,short,uzun,kısa,,,
73,tr,permitted,forbidden,helal,haram,,,
74,tr,come,go,gelmek,gitmek,,,
75,tr,sweet,bitter,tatlı,acı,,,
