model,rep_type,layer,alpha,l1_ratio,rho_mean,rho_std,n_nonzero_mean,n_nonzero_std,n_train,n_test,n_groups,n_folds
Qwen3-4B,last,25,0.05,1.0,0.4663,0.0556,2.0,0.0,3840.0,960.0,600,5
Qwen3-4B,last,26,0.05,1.0,0.4659,0.05,2.6,0.8,3840.0,960.0,600,5
Qwen3-4B,last,22,0.05,1.0,0.4627,0.0796,3.0,1.41,3840.0,960.0,600,5
Qwen3-4B,last,23,0.05,1.0,0.4609,0.0716,2.0,0.63,3840.0,960.0,600,5
Qwen3-4B,last,21,0.05,1.0,0.4531,0.0701,2.8,1.17,3840.0,960.0,600,5
Qwen3-4B,last,24,0.05,1.0,0.4528,0.0639,2.4,0.8,3840.0,960.0,600,5
Qwen3-4B,last,20,0.05,1.0,0.4401,0.0576,2.4,1.02,3840.0,960.0,600,5
Qwen3-4B,last,29,0.05,1.0,0.4375,0.0435,1.6,0.49,3840.0,960.0,600,5
Qwen3-4B,last,19,0.05,1.0,0.4372,0.0611,3.2,1.17,3840.0,960.0,600,5
Qwen3-4B,last,33,0.05,1.0,0.4337,0.0772,2.0,0.0,3840.0,960.0,600,5
Qwen3-4B,last,15,0.05,1.0,0.4315,0.0682,3.4,1.02,3840.0,960.0,600,5
Qwen3-4B,last,30,0.05,1.0,0.4264,0.0475,1.0,0.0,3840.0,960.0,600,5
Qwen3-4B,last,28,0.05,1.0,0.4259,0.0412,1.6,0.49,3840.0,960.0,600,5
Qwen3-4B,last,27,0.05,1.0,0.4207,0.0355,1.8,0.4,3840.0,960.0,600,5
Qwen3-4B,last,31,0.05,1.0,0.4192,0.0613,1.4,0.49,3840.0,960.0,600,5
Qwen3-4B,last,14,0.05,1.0,0.4182,0.0486,2.6,1.02,3840.0,960.0,600,5
Qwen3-4B,last,32,0.05,1.0,0.4156,0.0625,1.0,0.0,3840.0,960.0,600,5
Qwen3-4B,last,17,0.05,1.0,0.4063,0.0492,3.2,1.33,3840.0,960.0,600,5
Qwen3-4B,last,18,0.05,1.0,0.4048,0.0682,3.2,0.75,3840.0,960.0,600,5
